Ticker,Company,Sector
AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication
OVV,OVINTIV INC,Energy
NTLA,INTELLIA THERAPEUTICS INC,Health Care
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology
TTEK,TETRA TECH INC,Industrials
ASAN,ASANA INC CLASS A,Information Technology
CROX,CROCS INC,Consumer Discretionary
SGMS,SCIENTIFIC GAMES CORP,Consumer Discretionary
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples
