Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_023032_20160710_20170221_01_T1,LC80230322016192LGN01,2016/07/10,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/02/21,2016:192:16:35:09.2293540,2016:192:16:35:40.9993510,LGN,DAY,16.8,16.8,236,4,7.866,5.499,5.625,9,LPGS_2.7.0,64.37894363,128.94476606,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160710162115_20160710164307.01,LT8BPF20160707085159_20160720111055.01,LC08CPF_20160701_20160930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.22"N,88°46'27.05"W,41°23'14.17"N,89°36'30.53"W,40°58'39.97"N,87°23'46.46"W,39°40'14.23"N,90°07'40.15"W,39°15'47.88"N,87°58'14.41"W,40.33284,-88.77418,41.38727,-89.60848,40.97777,-87.39624,39.67062,-90.12782,39.2633,-87.97067,LC08_L1TP_023032_20160710_20170221_01_T1,LC80230322016192LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322016192LGN01
LC08_L1GT_022032_20160703_20170221_01_T2,LC80220322016185LGN01,2016/07/03,T2,1, 022, 032, 022, 032,NADIR,-.001,2017/02/21,2016:185:16:28:55.1285190,2016:185:16:29:26.8985160,LGN,DAY,100,100,-1,4,0,0,0,9,LPGS_2.7.0,65.12584749,128.2292866,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15761,15501,7881,7751,7881,7751,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160703151157_20160703163653.01,LT8BPF20160620195437_20160707083823.01,LC08CPF_20160701_20160930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.86"N,87°13'32.56"W,41°23'13.88"N,88°03'36.07"W,40°58'39.36"N,85°50'51.83"W,39°40'14.09"N,88°34'46.02"W,39°15'47.45"N,86°25'20.10"W,40.33274,-87.22571,41.38719,-88.06002,40.9776,-85.84773,39.67058,-88.57945,39.26318,-86.42225,LC08_L1GT_022032_20160703_20170221_01_T2,LC80220322016185LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322016185LGN01
LC08_L1TP_023032_20160624_20170222_01_T1,LC80230322016176LGN01,2016/06/24,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/02/22,2016:176:16:35:00.9437280,2016:176:16:35:32.7137250,LGN,DAY,28.66,28.66,151,4,7.532,5.083,5.558,9,LPGS_2.7.0,65.76936168,128.15849761,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160624162106_20160624164259.01,LT8BPF20160620195437_20160707083823.01,LC08CPF_20160401_20160630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.26"N,88°45'56.74"W,41°23'14.06"N,89°36'00.25"W,40°58'39.68"N,87°23'15.79"W,39°40'14.30"N,90°07'09.98"W,39°15'47.77"N,87°57'43.85"W,40.33285,-88.76576,41.38724,-89.60007,40.97769,-87.38772,39.67064,-90.11944,39.26327,-87.96218,LC08_L1TP_023032_20160624_20170222_01_T1,LC80230322016176LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322016176LGN01
LC08_L1TP_022032_20160617_20170222_01_T1,LC80220322016169LGN01,2016/06/17,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/02/22,2016:169:16:28:45.5255780,2016:169:16:29:17.2955750,LGN,DAY,.06,.06,345,4,6.936,4.571,5.216,9,LPGS_2.7.0,65.99667751,128.76278318,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160617151148_20160617163643.01,LT8BPF20160606063351_20160620173313.01,LC08CPF_20160401_20160630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.79"N,87°12'45.07"W,41°23'13.74"N,88°02'48.59"W,40°58'39.07"N,85°50'04.09"W,39°40'14.09"N,88°33'58.57"W,39°15'47.30"N,86°24'32.36"W,40.33272,-87.21252,41.38715,-88.04683,40.97752,-85.83447,39.67058,-88.56627,39.26314,-86.40899,LC08_L1TP_022032_20160617_20170222_01_T1,LC80220322016169LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322016169LGN01
LC08_L1TP_023032_20160608_20170223_01_T1,LC80230322016160LGN01,2016/06/08,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/02/23,2016:160:16:34:55.0438920,2016:160:16:35:26.8138880,LGN,DAY,.17,.17,239,4,7.872,5.605,5.528,9,LPGS_2.7.0,65.89425306,130.29701654,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160608162100_20160608164253.01,LT8BPF20160606063351_20160620173313.01,LC08CPF_20160401_20160630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.25"N,88°46'07.97"W,41°23'13.20"N,89°36'11.52"W,40°58'38.68"N,87°23'27.06"W,39°40'13.51"N,90°07'21.43"W,39°15'46.84"N,87°57'55.26"W,40.33257,-88.76888,41.387,-89.6032,40.97741,-87.39085,39.67042,-90.12262,39.26301,-87.96535,LC08_L1TP_023032_20160608_20170223_01_T1,LC80230322016160LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322016160LGN01
LC08_L1TP_022032_20160601_20170223_01_T1,LC80220322016153LGN01,2016/06/01,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/02/23,2016:153:16:28:42.8674600,2016:153:16:29:14.6374570,LGN,DAY,96.03,96.03,48,4,8.262,5.61,6.065,9,LPGS_2.7.0,65.48028563,131.95924966,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20160601161448_20160601163640.01,LT8BPF20160522121054_20160606055146.01,LC08CPF_20160401_20160630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.32"N,87°13'48.47"W,41°23'13.38"N,88°03'51.91"W,40°58'38.57"N,85°51'07.42"W,39°40'13.69"N,88°35'01.97"W,39°15'46.80"N,86°25'35.80"W,40.33259,-87.23013,41.38705,-88.06442,40.97738,-85.85206,39.67047,-88.58388,39.263,-86.42661,LC08_L1TP_022032_20160601_20170223_01_T1,LC80220322016153LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322016153LGN01
LC08_L1TP_023032_20150724_20170226_01_T1,LC80230322015205LGN01,2015/07/24,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/02/26,2015:205:16:34:49.7340820,2015:205:16:35:21.5040780,LGN,DAY,27.42,27.42,261,4,7.805,5.307,5.723,9,LPGS_2.7.0,62.39207005,131.5592381,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150724151528_20150724164247.01,LT8BPF20150724151738_20150724164500.01,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.11"N,88°46'31.04"W,41°23'13.24"N,89°36'33.91"W,40°58'38.53"N,87°23'50.35"W,39°40'13.37"N,90°07'44.26"W,39°15'46.55"N,87°58'19.02"W,40.33253,-88.77529,41.38701,-89.60942,40.97737,-87.39732,39.67038,-90.12896,39.26293,-87.97195,LC08_L1TP_023032_20150724_20170226_01_T1,LC80230322015205LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322015205LGN01
LC08_L1TP_022032_20150717_20180130_01_T1,LC80220322015198LGN02,2015/07/17,T1,1, 022, 032, 022, 032,NADIR,-.001,2018/01/30,2015:198:16:28:36.8109170,2015:198:16:29:08.5809130,LGN,DAY,38.31,38.31,84,4,8.369,5.098,6.637,9,LPGS_13.0.0,63.49021243,129.87219886,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150717151139_20150717163634.01,LT8BPF20150717151234_20150717163730.01,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.40"N,87°14'04.88"W,41°23'13.56"N,88°04'07.97"W,40°58'38.64"N,85°51'23.90"W,39°40'13.80"N,88°35'18.38"W,39°15'46.76"N,86°25'52.64"W,40.33261,-87.23469,41.3871,-88.06888,40.9774,-85.85664,39.6705,-88.58844,39.26299,-86.43129,LC08_L1TP_022032_20150717_20180130_01_T1,LC80220322015198LGN02,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322015198LGN02
LC08_L1GT_023032_20150708_20170227_01_T2,LC80230322015189LGN04,2015/07/08,T2,1, 023, 032, 023, 032,NADIR,-.001,2017/02/27,2015:189:16:34:43.0831460,2015:189:16:35:14.8531420,LGN,DAY,100,100,-1,4,0,0,0,9,LPGS_2.7.0,64.63232621,128.41700337,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150708162048_20150708164241.01,LT8BPF20150708161654_20150708164336.01,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.51"N,88°46'47.10"W,41°23'14.71"N,89°36'50.54"W,40°58'39.72"N,87°24'05.90"W,39°40'14.99"N,90°08'00.96"W,39°15'47.84"N,87°58'34.64"W,40.33292,-88.77975,41.38742,-89.61404,40.9777,-87.40164,39.67083,-90.1336,39.26329,-87.97629,LC08_L1GT_023032_20150708_20170227_01_T2,LC80230322015189LGN04,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322015189LGN04
LC08_L1TP_022032_20150701_20170226_01_T1,LC80220322015182LGN01,2015/07/01,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/02/26,2015:182:16:28:26.7725070,2015:182:16:28:58.5425030,LGN,DAY,78.78,78.78,83,4,7.443,4.952,5.556,9,LPGS_2.7.0,65.29347382,127.91169656,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150701161432_20150701163624.01,LT8BPF20150701161038_20150701163720.02,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.29"N,87°13'33.92"W,41°23'13.52"N,88°03'37.26"W,40°58'38.24"N,85°50'52.44"W,39°40'14.05"N,88°34'47.96"W,39°15'46.66"N,86°25'21.43"W,40.33258,-87.22609,41.38709,-88.06035,40.97729,-85.8479,39.67057,-88.57999,39.26296,-86.42262,LC08_L1TP_022032_20150701_20170226_01_T1,LC80220322015182LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322015182LGN01
