Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_023032_20150622_20170301_01_T1,LC80230322015173LGN03,2015/06/22,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/01,2015:173:16:34:32.9702120,2015:173:16:35:04.7402080,LGN,DAY,100,100,31,4,10.175,6.907,7.471,9,LPGS_2.7.0,65.81657876,128.12412423,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150622162042_20150622164231.01,LT8BPF20150622161644_20150622164325.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.37"N,88°46'04.94"W,41°23'14.60"N,89°36'07.99"W,40°58'39.61"N,87°23'23.96"W,39°40'14.81"N,90°07'18.62"W,39°15'47.70"N,87°57'52.88"W,40.33288,-88.76804,41.38739,-89.60222,40.97767,-87.38999,39.67078,-90.12184,39.26325,-87.96469,LC08_L1TP_023032_20150622_20170301_01_T1,LC80230322015173LGN03,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322015173LGN03
LC08_L1TP_022032_20150615_20170226_01_T1,LC80220322015166LGN01,2015/06/15,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/02/26,2015:166:16:28:20.3445830,2015:166:16:28:52.1145790,LGN,DAY,56.81,56.81,75,4,7.747,5.117,5.816,9,LPGS_2.7.0,65.94361216,128.94322727,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150615151122_20150615163618.01,LT8BPF20150615161032_20150615163713.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.72"N,87°13'49.51"W,41°23'14.06"N,88°03'52.31"W,40°58'38.78"N,85°51'08.17"W,39°40'14.41"N,88°35'03.26"W,39°15'47.05"N,86°25'37.38"W,40.3327,-87.23042,41.38724,-88.06453,40.97744,-85.85227,39.67067,-88.58424,39.26307,-86.42705,LC08_L1TP_022032_20150615_20170226_01_T1,LC80220322015166LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322015166LGN01
LC08_L1TP_023032_20150606_20170301_01_T1,LC80230322015157LGN03,2015/06/06,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/01,2015:157:16:34:25.7752220,2015:157:16:34:57.5452180,LGN,DAY,44.43,44.43,174,4,8.366,5.379,6.408,9,LPGS_2.7.0,65.69635382,130.69430633,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20150606162034_20150606164223.01,LT8BPF20150606161637_20150606164318.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.33"N,88°46'28.74"W,41°23'14.68"N,89°36'31.93"W,40°58'39.54"N,87°23'47.62"W,39°40'14.84"N,90°07'42.64"W,39°15'47.59"N,87°58'16.61"W,40.33287,-88.77465,41.38741,-89.60887,40.97765,-87.39656,39.67079,-90.12851,39.26322,-87.97128,LC08_L1TP_023032_20150606_20170301_01_T1,LC80230322015157LGN03,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322015157LGN03
LC08_L1TP_022032_20140730_20170304_01_T1,LC80220322014211LGN01,2014/07/30,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/04,2014:211:16:29:00.1243580,2014:211:16:29:31.8943540,LGN,DAY,19.88,19.88,204,4,7.106,5.092,4.957,9,LPGS_2.7.0,61.31123959,133.52467571,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15501,7881,7751,7881,7751,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140730160935_20140730163658.01,LT8BPF20140730160541_20140730163751.01,LC08CPF_20140701_20140930_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.62"N,87°13'31.84"W,41°23'14.50"N,88°03'36.18"W,40°58'40.30"N,85°50'50.78"W,39°40'14.74"N,88°34'45.37"W,39°15'48.35"N,86°25'18.30"W,40.33295,-87.22551,41.38736,-88.06005,40.97786,-85.84744,39.67076,-88.57927,39.26343,-86.42175,LC08_L1TP_022032_20140730_20170304_01_T1,LC80220322014211LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322014211LGN01
LC08_L1TP_023032_20140721_20170304_01_T1,LC80230322014202LGN01,2014/07/21,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/04,2014:202:16:35:06.3762980,2014:202:16:35:38.1462940,LGN,DAY,1.46,1.46,240,4,7.614,5.358,5.41,9,LPGS_2.7.0,62.89437712,130.98087463,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140721151545_20140721164304.01,LT8BPF20140721161546_20140721164357.01,LC08CPF_20140701_20140930_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.54"N,88°45'47.66"W,41°23'13.38"N,89°35'51.40"W,40°58'39.11"N,87°23'07.01"W,39°40'13.58"N,90°07'01.06"W,39°15'47.20"N,87°57'34.96"W,40.33265,-88.76324,41.38705,-89.59761,40.97753,-87.38528,39.67044,-90.11696,39.26311,-87.95971,LC08_L1TP_023032_20140721_20170304_01_T1,LC80230322014202LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322014202LGN01
LC08_L1TP_022032_20140714_20170304_01_T1,LC80220322014195LGN01,2014/07/14,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/04,2014:195:16:28:55.1535700,2014:195:16:29:26.9235660,LGN,DAY,25.98,25.98,139,4,6.988,4.908,4.974,9,LPGS_2.7.0,63.92440383,129.47708342,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140714161552_20140714163653.01,LT8BPF20140714161158_20140714163746.01,LC08CPF_20140701_20140930_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.66"N,87°13'35.29"W,41°23'14.50"N,88°03'38.77"W,40°58'40.26"N,85°50'54.46"W,39°40'14.66"N,88°34'48.43"W,39°15'48.28"N,86°25'22.37"W,40.33296,-87.22647,41.38736,-88.06077,40.97785,-85.84846,39.67074,-88.58012,39.26341,-86.42288,LC08_L1TP_022032_20140714_20170304_01_T1,LC80220322014195LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322014195LGN01
LC08_L1TP_023032_20140705_20170304_01_T1,LC80230322014186LGN02,2014/07/05,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/04,2014:186:16:35:02.9144590,2014:186:16:35:34.6844550,LGN,DAY,76.23,76.23,148,4,8.467,5.486,6.449,9,LPGS_2.7.0,64.97030431,128.29558965,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140705151541_20140705164301.01,LT8BPF20140705151634_20140705164354.01,LC08CPF_20140701_20140930_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.22"N,88°46'21.40"W,41°23'13.16"N,89°36'25.09"W,40°58'38.86"N,87°23'40.74"W,39°40'13.30"N,90°07'34.79"W,39°15'46.91"N,87°58'08.69"W,40.33256,-88.77261,41.38699,-89.60697,40.97746,-87.39465,39.67036,-90.12633,39.26303,-87.96908,LC08_L1TP_023032_20140705_20170304_01_T1,LC80230322014186LGN02,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322014186LGN02
LC08_L1TP_022032_20140628_20170304_01_T1,LC80220322014179LGN01,2014/06/28,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/04,2014:179:16:28:46.9982090,2014:179:16:29:18.7682050,LGN,DAY,64.53,64.53,43,4,8.49,6.303,5.688,9,LPGS_2.7.0,65.55236373,128.03632876,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140628161456_20140628163645.01,LT8BPF20140628161102_20140628163738.01,LC08CPF_20140401_20140630_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.51"N,87°12'59.51"W,41°23'14.53"N,88°03'03.06"W,40°58'40.12"N,85°50'18.71"W,39°40'14.70"N,88°34'12.79"W,39°15'48.13"N,86°24'46.69"W,40.33292,-87.21653,41.38737,-88.05085,40.97781,-85.83853,39.67075,-88.57022,39.26337,-86.41297,LC08_L1TP_022032_20140628_20170304_01_T1,LC80220322014179LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322014179LGN01
LC08_L1TP_023032_20140619_20170304_01_T1,LC80230322014170LGN01,2014/06/19,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/04,2014:170:16:34:56.7129120,2014:170:16:35:28.4829080,LGN,DAY,51.78,51.78,113,4,7.192,4.642,5.493,9,LPGS_2.7.0,65.96075094,128.55990375,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140619162153_20140619164254.01,LT8BPF20140619161759_20140619164347.01,LC08CPF_20140401_20140630_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.65"N,88°46'19.96"W,41°23'13.60"N,89°36'22.93"W,40°58'39.43"N,87°23'39.73"W,39°40'13.48"N,90°07'32.66"W,39°15'47.20"N,87°58'07.75"W,40.33268,-88.77221,41.38711,-89.60637,40.97762,-87.39437,39.67041,-90.12574,39.26311,-87.96882,LC08_L1TP_023032_20140619_20170304_01_T1,LC80230322014170LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322014170LGN01
LC08_L1TP_022032_20140612_20170305_01_T1,LC80220322014163LGN01,2014/06/12,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/05,2014:163:16:28:44.9145690,2014:163:16:29:16.6845650,LGN,DAY,38.37,38.37,119,4,7.366,4.953,5.452,9,LPGS_2.7.0,65.98117296,129.58537918,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140612151147_20140612163642.01,LT8BPF20140612161100_20140612163735.01,LC08CPF_20140401_20140630_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.22"N,87°14'03.80"W,41°23'13.42"N,88°04'06.78"W,40°58'39.00"N,85°51'23.65"W,39°40'13.26"N,88°35'16.87"W,39°15'46.76"N,86°25'52.03"W,40.33256,-87.23439,41.38706,-88.06855,40.9775,-85.85657,39.67035,-88.58802,39.26299,-86.43112,LC08_L1TP_022032_20140612_20170305_01_T1,LC80220322014163LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322014163LGN01
LC08_L1TP_023032_20140603_20170305_01_T1,LC80230322014154LGN01,2014/06/03,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/05,2014:154:16:34:51.6427910,2014:154:16:35:23.4127870,LGN,DAY,9.14,9.14,190,4,7.83,5.662,5.409,9,LPGS_2.7.0,65.58438075,131.54693644,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15701,7961,7851,7961,7851,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20140603151530_20140603164249.01,LT8BPF20140603161706_20140603164342.01,LC08CPF_20140401_20140630_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.80"N,88°46'43.32"W,41°23'14.78"N,89°36'46.22"W,40°58'40.44"N,87°24'02.70"W,39°40'14.84"N,90°07'56.32"W,39°15'48.42"N,87°58'31.08"W,40.333,-88.7787,41.38744,-89.61284,40.9779,-87.40075,39.67079,-90.13231,39.26345,-87.9753,LC08_L1TP_023032_20140603_20170305_01_T1,LC80230322014154LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322014154LGN01
LC08_L1TP_022032_20130727_20170309_01_T1,LC80220322013208LGN01,2013/07/27,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/09,2013:208:16:31:02.2090350,2013:208:16:31:33.9790310,LGN,DAY,46.8,46.8,56,4,7.393,5.022,5.425,9,LPGS_2.7.0,62.11178579,133.50777275,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15501,7881,7751,7881,7751,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130727162133_20130727163900.01,LT8BPF20130727161739_20130727163953.01,LC08CPF_20130701_20130919_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.76"N,87°14'09.35"W,41°23'12.98"N,88°04'12.36"W,40°58'41.20"N,85°51'31.07"W,39°40'11.82"N,88°35'20.00"W,39°15'47.81"N,86°25'56.93"W,40.33271,-87.23593,41.38694,-88.0701,40.97811,-85.85863,39.66995,-88.58889,39.26328,-86.43248,LC08_L1TP_022032_20130727_20170309_01_T1,LC80220322013208LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322013208LGN01
LC08_L1TP_023032_20130718_20170309_01_T1,LC80230322013199LGN01,2013/07/18,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/03/09,2013:199:16:37:11.9179100,2013:199:16:37:43.6879060,LGN,DAY,22.11,22.11,104,4,8.338,5.955,5.836,9,LPGS_2.7.0,63.62044463,131.18331129,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130718162608_20130718164509.01,LT8BPF20130718162214_20130718164602.01,LC08CPF_20130701_20130919_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.76"N,88°46'35.11"W,41°23'14.28"N,89°36'36.65"W,40°58'42.71"N,87°23'57.95"W,39°40'12.61"N,90°07'44.80"W,39°15'48.85"N,87°58'24.28"W,40.33299,-88.77642,41.3873,-89.61018,40.97853,-87.39943,39.67017,-90.12911,39.26357,-87.97341,LC08_L1TP_023032_20130718_20170309_01_T1,LC80230322013199LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322013199LGN01
LC08_L1TP_022032_20130711_20170309_01_T1,LC80220322013192LGN01,2013/07/11,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/09,2013:192:16:31:02.4598270,2013:192:16:31:34.2298230,LGN,DAY,21.6,21.6,148,4,7.291,5.286,5.022,9,LPGS_2.7.0,64.59045668,129.89493862,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130711161958_20130711163900.01,LT8BPF20130711161604_20130711163953.01,LC08CPF_20130701_20130919_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.18"N,87°14'18.02"W,41°23'12.73"N,88°04'19.52"W,40°58'41.30"N,85°51'41.08"W,39°40'10.88"N,88°35'27.49"W,39°15'47.23"N,86°26'07.30"W,40.33255,-87.23834,41.38687,-88.07209,40.97814,-85.86141,39.66969,-88.59097,39.26312,-86.43536,LC08_L1TP_022032_20130711_20170309_01_T1,LC80220322013192LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322013192LGN01
LC08_L1GT_023032_20130702_20170309_01_T2,LC80230322013183LGN01,2013/07/02,T2,1, 023, 032, 023, 032,NADIR,-.001,2017/03/09,2013:183:16:37:12.4750880,2013:183:16:37:44.2450840,LGN,DAY,97.18,97.18,-1,4,0,0,0,9,LPGS_2.7.0,65.55049447,129.03820463,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130702162608_20130702164510.01,LT8BPF20130702162214_20130702164603.01,LC08CPF_20130701_20130919_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.32"N,88°46'54.88"W,41°23'12.84"N,89°36'56.66"W,40°58'41.02"N,87°24'17.46"W,39°40'11.32"N,90°08'04.81"W,39°15'47.38"N,87°58'43.93"W,40.33259,-88.78191,41.3869,-89.61574,40.97806,-87.40485,39.66981,-90.13467,39.26316,-87.97887,LC08_L1GT_023032_20130702_20170309_01_T2,LC80230322013183LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322013183LGN01
LC08_L1TP_022032_20130625_20170309_01_T1,LC80220322013176LGN01,2013/06/25,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/09,2013:176:16:31:00.4155710,2013:176:16:31:30.2115910,LGN,DAY,24.09,24.09,267,4,7.436,5.033,5.474,9,LPGS_2.7.0,66.04888949,129.03422531,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,14881,15301,7441,7651,7441,7651,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130625161958_20130625163855.01,LT8BPF20130625161605_20130625163947.02,LC08CPF_20130401_20130627_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'58.08"N,87°13'46.99"W,41°19'40.98"N,88°04'54.84"W,40°55'09.70"N,85°52'21.11"W,39°43'45.08"N,88°33'54.29"W,39°19'20.21"N,86°24'25.60"W,40.3328,-87.22972,41.32805,-88.0819,40.91936,-85.87253,39.72919,-88.56508,39.32228,-86.40711,LC08_L1TP_022032_20130625_20170309_01_T1,LC80220322013176LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322013176LGN01
LC08_L1TP_023032_20130616_20170309_01_T2,LC80230322013167LGN01,2013/06/16,T2,1, 023, 032, 023, 032,NADIR,-.001,2017/03/09,2013:167:16:37:12.5013610,2013:167:16:37:42.2973810,LGN,DAY,94.52,94.52,22,4,12.542,9.194,8.53,9,LPGS_2.7.0,66.33042971,129.87463974,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15061,15461,7531,7731,7531,7731,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130616162610_20130616164507.01,LT8BPF20130616162217_20130616164559.01,LC08CPF_20130401_20130627_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.50"N,88°47'01.43"W,41°19'40.37"N,89°38'10.68"W,40°55'08.65"N,87°25'34.79"W,39°43'45.12"N,90°07'09.95"W,39°19'19.81"N,87°57'39.20"W,40.33264,-88.78373,41.32788,-89.6363,40.91907,-87.42633,39.7292,-90.11943,39.32217,-87.96089,LC08_L1TP_023032_20130616_20170309_01_T2,LC80230322013167LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322013167LGN01
LC08_L1TP_022032_20130609_20170309_01_T1,LC80220322013160LGN03,2013/06/09,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/03/09,2013:160:16:31:05.1142450,2013:160:16:31:34.9102650,LGN,DAY,57.69,57.69,114,4,8.667,5.966,6.287,9,LPGS_2.7.0,66.24218327,131.12572254,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,14901,15321,7451,7661,7451,7661,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20130609162003_20130609163900.01,LT8BPF20130609161609_20130609163952.01,LC08CPF_20130401_20130627_01.01,LC08RLUT_20130211_20150302_01_11.h5,40°19'57.04"N,87°15'19.80"W,41°19'39.94"N,88°06'30.17"W,40°55'07.57"N,85°53'51.79"W,39°43'45.26"N,88°35'29.40"W,39°19'19.34"N,86°25'56.17"W,40.33251,-87.2555,41.32776,-88.10838,40.91877,-85.89772,39.72924,-88.5915,39.32204,-86.43227,LC08_L1TP_022032_20130609_20170309_01_T1,LC80220322013160LGN03,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322013160LGN03
