,landsat:product_id,datetime,eo:cloud_cover,landsat:tier,eo:column,eo:row
0,LC08_L1TP_029029_20190424_20190508_01_T1,2019-04-24T17:10:46,20,T1,029,029
1,LC08_L1TP_029028_20190510_20190521_01_T1,2019-05-10T17:10:30,9,T1,029,028
2,LC08_L1TP_029029_20190510_20190521_01_T1,2019-05-10T17:10:54,0,T1,029,029
3,LC08_L1TP_029028_20190526_20190605_01_T1,2019-05-26T17:10:40,8,T1,029,028
4,LC08_L1TP_029029_20190526_20190605_01_T1,2019-05-26T17:11:03,21,T1,029,029
5,LC08_L1TP_030028_20190602_20190618_01_T1,2019-06-02T17:16:54,4,T1,030,028
6,LC08_L1TP_030029_20190602_20190618_01_T1,2019-06-02T17:17:18,6,T1,030,029
7,LC08_L1TP_030029_20190618_20190703_01_T1,2019-06-18T17:17:24,23,T1,030,029
8,LC08_L1TP_029028_20190713_20190719_01_T1,2019-07-13T17:10:55,16,T1,029,028
9,LC08_L1TP_030028_20190720_20190731_01_T1,2019-07-20T17:17:08,20,T1,030,028
10,LC08_L1TP_030029_20190720_20190731_01_T1,2019-07-20T17:17:31,21,T1,030,029
11,LC08_L1TP_030028_20190821_20190903_01_T1,2019-08-21T17:17:19,10,T1,030,028
